 fecha ,      ipc
03/07/2003,7127.42
04/07/2003,7142.85
07/07/2003,7215.03
08/07/2003,7234.94
09/07/2003,7171.89
10/07/2003,7096.04
11/07/2003,7083.82
14/07/2003,7167.54
15/07/2003,7120.31
16/07/2003,7023.94
17/07/2003,6999.07
18/07/2003,7030.76
21/07/2003,7024.73
22/07/2003,7164.29
23/07/2003,7280.65
24/07/2003,7309.41
25/07/2003,7349.96
28/07/2003,7314.22
29/07/2003,7233.2
30/07/2003,7260.2
31/07/2003,7355.07
01/08/2003,7320.41
04/08/2003,7344.43
05/08/2003,7273.45
06/08/2003,7230.07
07/08/2003,7304.67
08/08/2003,7316.69
11/08/2003,7356.62
12/08/2003,7358.37
13/08/2003,7368.92
14/08/2003,7421.74
15/08/2003,7418.43
18/08/2003,7500.01
19/08/2003,7487.57
20/08/2003,7460.15
